timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
9/28/17 22:45,Microsoft,63,Software Engineer,210000,"Seattle, WA",5,5,NA,165000,175000,25000,NA,NA,11527,819,104,0,0,0,0,0,0,0,0,0,0,NA,NA
10/2/17 10:17,Adobe,Director,Product Manager,470000,"San Francisco, CA",15,6,NA,230000,170000,65000,NA,Refresh equity on 3 yr vest; Up to 3% 401K match; Good ESPP program,7419,807,105,0,0,0,0,0,0,0,0,0,0,NA,NA
10/3/17 11:15,Microsoft,64,Software Engineer,260000,"Redmond, WA",14,4,NA,165000,29000,28000,NA,"401k match, ESPP, health insurance",11521,819,106,0,0,0,0,0,0,0,0,0,0,NA,NA
10/3/17 12:56,LinkedIn,Staff,Software Engineer,430000,"Mountain View, CA",10,3,NA,200000,0,30000,NA,NA,7322,807,107,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/17 11:45,LinkedIn,Staff,Software Engineer,350000,"Sunnyvale, CA",10,3,NA,180000,143000,27000,NA,NA,7472,807,109,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/17 17:32,Apple,ICT5,Software Engineer,430000,"Cupertino, CA",8,2,NA,0,0,0,NA,NA,7158,807,110,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/17 17:34,Apple,ICT - 5,Software Engineer,560000,"Cupertino, CA",8,5,NA,0,0,0,NA,NA,7158,807,111,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/17 22:09,Amazon,L6,Software Engineering Manager,342000,"Seattle, WA",14,7,NA,0,0,0,NA,NA,11527,819,112,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/17 23:08,Amazon,L8,Product Manager,625000,"Seattle, WA",13,2,NA,160000,460000,0,NA,NA,11527,819,113,0,0,0,0,0,0,0,0,0,0,NA,NA
10/8/17 23:59,amazon,L5,Software Engineer,196000,"Seattle, WA",5,0,NA,147000,120000,0,NA,NA,11527,819,114,0,0,0,0,0,0,0,0,0,0,NA,NA
10/11/17 6:24,Symantec,Senior Principal,Software Engineer,245000,"Mountain View, CA",23,13,NA,180250,27700,26250,NA,ESPP face value is around 1.5% ($3.1k); up to $7k in 401k matching is quite valuable (consider how much it'll be worth by time of retirement) but is not included in above,7322,807,116,0,0,0,0,0,0,0,0,0,0,NA,NA
10/15/17 12:08,Apple,ICT4,Product Manager,305000,"San Francisco, CA",7,1,NA,180000,60000,65000,NA,NA,7419,807,120,0,0,0,0,0,0,0,0,0,0,NA,NA
10/15/17 23:57,Microsoft,63,Software Engineer,310000,"Sunnyvale, CA",8,5,NA,200000,35000,75000,NA,NA,7472,807,121,0,0,0,0,0,0,0,0,0,0,NA,NA
10/19/17 1:31,Facebook,E6,Software Engineer,600000,"Menlo Park, CA",10,1,NA,215000,1000000,40000,NA,NA,7300,807,124,0,0,0,0,0,0,0,0,0,0,NA,NA
10/19/17 14:23,Intel Corporation,L7,Software Engineer,110000,"Sacramento, CA",6,5,NA,96000,4000,10000,NA,NA,7408,862,125,0,0,0,0,0,0,0,0,0,0,NA,NA
10/19/17 15:34,Uber,Senior Software Engineer I,Software Engineer,365000,"San Francisco, CA",9,1,NA,178000,175000,55000,NA,NA,7419,807,126,0,0,0,0,0,0,0,0,0,0,NA,NA
10/20/17 7:31,Amazon,L4,Software Engineer,150000,"Seattle, WA",0,0,NA,106000,65000,46000,NA,NA,11527,819,127,0,0,0,0,0,0,0,0,0,0,NA,NA
10/22/17 11:42,Facebook,E5,Software Engineer,690000,"Seattle, WA",11.5,4,NA,200000,450000,40000,NA,NA,11527,819,129,0,0,0,0,0,0,0,0,0,0,NA,NA
10/22/17 23:52,Amazon,Senior,Software Engineer,200000,"Seattle, WA",14,9,NA,0,0,0,NA,NA,11527,819,130,0,0,0,0,0,0,0,0,0,0,NA,NA
10/25/17 10:30,Google,L4,Software Engineer,275000,"Mountain View, CA",4,0,NA,160000,91000,24000,NA,NA,7322,807,131,0,0,0,0,0,0,0,0,0,0,NA,NA
10/29/17 11:09,Amazon,L5,Software Engineer,245000,"Seattle, WA",10,0,NA,155000,185000,80000,NA,NA,11527,819,134,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/17 23:05,Intel,G6,Software Engineering Manager,125000,"Hillsboro, OR",7,6,NA,100000,10000,15000,NA,NA,10500,820,136,0,0,0,0,0,0,0,0,0,0,NA,NA
11/3/17 19:32,Microsoft,61,Software Engineer,150000,"Redmond, WA",4,2,NA,0,0,0,NA,NA,11521,819,138,0,0,0,0,0,0,0,0,0,0,NA,NA
11/5/17 1:26,Uber,L4,Product Manager,330000,"Seattle, WA",4,4,NA,150000,600000,40000,NA,NA,11527,819,140,0,0,0,0,0,0,0,0,0,0,NA,NA
11/9/17 13:12,Amazon,L5,Software Engineer,212000,"Cambridge, EN, United Kingdom",11,3,NA,132000,80000,0,NA,NA,4878,0,143,0,0,0,0,0,0,0,0,0,0,NA,NA
11/9/17 19:02,Amazon,L4,Software Engineer,156000,"Seattle, WA",0,0,NA,112000,3000,41000,NA,NA,11527,819,144,0,0,0,0,0,0,0,0,0,0,NA,NA
